,NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value
5483,373737,1201726,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,5 - A,Scaled Score,Scale,260.0,CPI,Scale,100.0
5484,373737,1020440,,10,,MCAS,,,10,Performance Level,Level,,Scaled Score,Scale,,CPI,Scale,
5485,373737,1424934,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,3 - NI,Scaled Score,Scale,234.0,CPI,Scale,75.0
5486,373737,1424934,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,3 - NI,Scaled Score,Scale,232.0,CPI,Scale,75.0
5487,373737,1424934,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,220.0,CPI,Scale,50.0
5488,373737,1621650,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,258.0,CPI,Scale,100.0
5489,373737,1621650,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,1 - F,Scaled Score,Scale,218.0,CPI,Scale,25.0
5490,373737,1621650,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,4 - P,Scaled Score,Scale,240.0,CPI,Scale,100.0
5491,373737,1465240,,10,,MCAS,,,10,Performance Level,Level,,Scaled Score,Scale,,CPI,Scale,
5492,373737,1735731,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,242.0,CPI,Scale,100.0
5493,373737,1735731,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,1 - F,Scaled Score,Scale,218.0,CPI,Scale,25.0
5494,373737,1735731,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,238.0,CPI,Scale,75.0
5495,373737,1772512,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,264.0,CPI,Scale,100.0
5496,373737,1772512,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,4 - P,Scaled Score,Scale,254.0,CPI,Scale,100.0
5497,373737,1772512,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,4 - P,Scaled Score,Scale,246.0,CPI,Scale,100.0
5498,373737,1383424,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,260.0,CPI,Scale,100.0
5499,373737,1383424,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,5 - A,Scaled Score,Scale,260.0,CPI,Scale,100.0
5500,373737,1383424,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,4 - P,Scaled Score,Scale,246.0,CPI,Scale,100.0
